"author","display_name_alternatives","year"
Paul Rock,"[""Paul Elliott Rock"", ""Paul Rock"", ""PAUL ROCK"", ""P. Rock"", ""Paul Elliot Rock"", ""P. E. Rock""]",1991
Claire Corbett,"[""Claire L Corbett"", ""C. Corbett"", ""Claire Corbett"", ""C Corbett"", ""C L Corbett"", ""C.L. Corbett""]",1991
Darren Sinclair,"[""Darren Sinclair"", ""D. Sinclair"", ""Darren L Sinclair"", ""Darren Lloyd Sinclair""]",2009
Neil Gunningham,"[""Neil Anthony Gunningham"", ""Neil Gunningham"", ""N. Gunningham"", ""N Gunningham"", ""Neil A. Gunningham""]",2009
Alistair Paterson,"[""A Paterson"", ""A. Paterson"", ""Alistair Paterson"", ""Alan Paterson"", ""A. PATERSON"", ""Alan A. Paterson"", ""A.J. Paterson"", ""A. J. Paterson""]",1982
J. A. G. Griffith,"[""J. A. G. Griffith"", ""Jim Griffith""]",1982
Paul Robertshaw,"[""P. Robertshaw"", ""Paul Robertshaw"", ""P Robertshaw""]",1988
Z. K. Bankowski,"[""Z. K. Bankowski""]",1988
N. R. Hutton,"[""N. R. Hutton""]",1988
J. J. McManus,"[""J. J. McManus""]",1988
Carol Harlow,"[""C. Harlow"", ""Carol R. Harlow"", ""Carol Harlow""]",1994
Richard Rawlings,"[""Richard Rawlings"", ""R. W. Rawlings"", ""R Rawlings""]",1994
Jo Shaw,"[""Jo. Shaw"", ""Jo Shaw"", ""J. Shaw"", ""J Shaw"", ""J.D. Shaw""]",1994
Gerry R. Rubin,"[""Gerry Rubin"", ""G R Rubin"", ""Gerry R. Rubin"", ""Gerry R Rubin"", ""G. R. RUBIN"", ""G. R. Rubin"", ""G.R. Rubin""]",1985
Richard de Friend,"[""R Friend"", ""Richard De Friend"", ""Richard de Friend""]",1985
Katherine O'Donovan,"[""O'Donovan Katherine"", ""Katherine O'donovan"", ""Katherine O'Donovan"", ""Katherine O’Donovan"", ""K O'Donovan""]",1986
Susan Atkins,"[""Susan Atkins"", ""S. G. Atkins""]",1986
Julia Brophy,"[""Julia Brophy"", ""Julia Anne Brophy"", ""J Brophy""]",1986
Beverley Brown,"[""BEVERLEY BROWN"", ""B Brown"", ""Beverley Elizabeth Brown"", ""Beverley E. Blair Brown"", ""Beverley Brown""]",1986
Brenda Hoggett,"[""Brenda Hoggett"", ""B. M. Hoggett"", ""Brenda M Hoggett"", ""Brenda M. Hoggett""]",1986
Susan M. Edwards,"[""S.M. Edwards"", ""S. Edwards"", ""S. M. Edwards"", ""Susan M. Edwards"", ""Susan Edwards"", ""S Edwards""]",1986
Carol Smart,"[""C. Smart"", ""Carol Smart"", ""CAROL SMART"", ""C. F. Smart""]",1986
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1988
James Foreman-Peck,"[""James Foreman‐Peck"", ""James Foreman–Peck"", ""J. S. Foreman-Peck"", ""J. Foreman-Peck"", ""J.S. Foreman-Peck"", ""James Foreman-Peck"", ""James S. Foreman-Peck"", ""J Foreman-Peck""]",1988
Jane Fielding,"[""J Fielding"", ""Jane Fielding"", ""Jane L. Fielding"", ""J.L. Fielding""]",1983
Nigel Fielding,"[""N Fielding"", ""NG Fielding"", ""N. Fielding"", ""NIGEL G. FIELDING"", ""NIGEL FIELDING"", ""Nigel G Fielding"", ""N.G. Fielding"", ""Nigel Fielding"", ""Nigel G. Fielding"", ""N. G. Fielding""]",1983
Peter Alcock,"[""Peter Alcock"", ""Peter Christopher. Alcock""]",1984
Rhona Newman,"[""R. Newman"", ""R. L. Newman"", ""R Newman"", ""Rhona Newman""]",1987
David S. Tait,"[""D Tait"", ""D. Tait"", ""D.S. Tait"", ""D. S. Tait"", ""David Scott Tait"", ""David S Tait"", ""David S. Tait"", ""David Tait""]",1994
Harm Schepel,"[""H. Schepel"", ""Harm Schepel."", ""Harm Schepel""]",2017
Renaud Colson,"[""Renaud N. Colson"", ""Renaud Colson""]",2019
Renaud Colson,"[""Renaud N. Colson"", ""Renaud Colson""]",2019
Anna Lawson,"[""Anna Lawson"", ""A Lawson"", ""A.J. Lawson""]",2020
Harry McVea,"[""Harry Mcvea"", ""H McVea"", ""Harry McVea""]",2004
Richard Abel,"[""Richard Abel"", ""Richard L. Abel"", ""Richard Leslie Abel"", ""R L Abel"", ""richard abel"", ""R. L. Abel"", ""R Abel"", ""R. Abel"", ""R.L. Abel"", ""Richard L Abel""]",2004
A. W. Brian Simpson,"[""Alan Simpson"", ""A. W. Brian Simpson"", ""A. W. B. Simpson"", ""A W Brian Simpson"", ""A W B Simpson"", ""A.W.B. Simpson"", ""A.W. Brian Simpson"", ""A. Simpson""]",2005
Jennifer Hendry,"[""J. Hendry"", ""Jennifer Hendry"", ""J. McL. Hendry"", ""J M Hendry"", ""J Hendry"", ""Jen Hendry"", ""Jen Hendry""]",2019
Meredith Rossner,"[""Meredith Rossner"", ""MEREDITH ROSSNER"", ""M Rossner"", ""Meredith Renee Rossner""]",2020
Pablo Castillo-Ortiz,"[""Pablo Castillo‐Ortiz"", ""Pablo Castillo-Ortiz""]",2020
Alan Hunt,"[""Alan HUnt"", ""Alan Hunt"", ""A. Hunt"", ""Alan J. Hunt"", ""ALAN HUNT"", ""Alan James Hunt"", ""A.J. Hunt"", ""A J Hunt"", ""A. J. Hunt"", ""Alan J Hunt"", ""A Hunt""]",1990
David Jabbari,"[""D Jabbari"", ""D. Susan Jabbari"", ""David Jabbari""]",1989
Mark Kelman,"[""М. С. Кельман"", ""Mark Kelman"", ""M.S. Kelman"", ""М.S. Kelman"", ""М С Кельман""]",1989
Jeffrey Braithwaite,"[""J. Braithwaite"", ""J M Braithwaite"", ""J Braithwaite"", ""J. BRAITHWAITE"", ""Jeffrey Braithwaite"", ""John Braithwaite"", ""John M. Braithwaite""]",1984
Michael Clarke,"[""M Clarke"", ""Michael T. Clarke"", ""M. T. CLARKE"", ""Michael Timothy Clarke"", ""Michael T Clarke"", ""M. Clarke"", ""Michael Clarke"", ""M. T. Clarke""]",1984
Richard Abel,"[""Richard Abel"", ""Richard L. Abel"", ""Richard Leslie Abel"", ""R L Abel"", ""richard abel"", ""R. L. Abel"", ""R Abel"", ""R. Abel"", ""R.L. Abel"", ""Richard L Abel""]",1982
Peter Fitzpatrick,"[""P. Fitzpatrick"", ""Peter Fitzpatrick"", ""P Fitzpatrick"", ""Peter H Fitzpatrick"", ""Peter Henry Fitzpatrick""]",1982
Peter Fitzpatrick,"[""P. Fitzpatrick"", ""Peter Fitzpatrick"", ""P Fitzpatrick"", ""Peter H Fitzpatrick"", ""Peter Henry Fitzpatrick""]",1993
Panu Minkkinen,"[""Panu Paavo Minkkinen"", ""Panu Minkkinen""]",1993
Stewart Andrew Field,"[""Stewart Field"", ""Stewart Andrew Field"", ""S. B. Field""]",2019
Michael Adler,"[""Michael E. Adler"", ""M Adler"", ""M. Adler"", ""Michael E Adler"", ""MICHAEL ADLER"", ""Michael Adler""]",2020
Michel Coutu,"[""Michel Coutu""]",2020
Michel Coutu,"[""Michel Coutu""]",2020
Rabeea Assy,"[""Rabeea Assy""]",2011
Paul Fenn,"[""P T Fenn"", ""P.T Fenn"", ""P Fenn"", ""Paul Fenn"", ""P. Fenn"", ""P. T. Fenn""]",1983
P. W. J. Bartrip,"[""P. W. J. Bartrip"", ""P W J Bartrip"", ""P. W.J. Bartrip"", ""P.W.J Bartrip"", ""P Bartrip"", ""P.W.J. Bartrip"", ""P. W. J. BARTRIP"", ""Peter W J Bartrip"", ""Peter W.J. Bartrip"", ""P. BARTRIP"", ""P. Bartrip"", ""Peter W. J. Bartrip"", ""Peter Bartrip"", ""P. W. J BARTRIP""]",1983
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",2002
Davina Cooper,"[""Davina Cooper"", ""D. Cooper"", ""Davina Sarah Cooper"", ""DAVINA COOPER""]",1996
Clare Williams,"[""Clare Williams"", ""CLARE WILLIAMS"", ""Clare L. Fisher Williams""]",2022
Máiréad Enright,"[""Máiréad Enright"", ""Mairead Enright"", ""MÁIRÉAD ENRIGHT""]",2022
DEIRDRE DUFFY,"[""DEIRDRE DUFFY""]",2022
Tara Mulqueen,"[""Tara Ann Mulqueen"", ""Tara Mulqueen""]",2020
Tara Mulqueen,"[""Tara Ann Mulqueen"", ""Tara Mulqueen""]",2020
Abdul Paliwala,"[""Abdul Paliwala"", ""A. H. Paliwala""]",2020
Abdul Paliwala,"[""Abdul Paliwala"", ""A. H. Paliwala""]",2020
Peter Fitzpatrick,"[""P. Fitzpatrick"", ""Peter Fitzpatrick"", ""P Fitzpatrick"", ""Peter H Fitzpatrick"", ""Peter Henry Fitzpatrick""]",2020
Anastasia Tataryn,"[""Anastasia Tataryn"", ""A. Tataryn""]",2020
Sharon Cowan,"[""S. T. Cowan"", ""Sharon Cowan"", ""S Cowan""]",2021
Sharon Cowan,"[""S. T. Cowan"", ""Sharon Cowan"", ""S Cowan""]",2021
Vanessa E. Munro,"[""V.E. Munro"", ""Vanessa Munro"", ""Vanessa E. Munro"", ""Vanessa E Munro""]",2021
Vanessa E. Munro,"[""V.E. Munro"", ""Vanessa Munro"", ""Vanessa E. Munro"", ""Vanessa E Munro""]",2021
Patricia Leighton,"[""Patricia Leighton"", ""PATRICIA LEIGHTON"", ""P. E. Leighton"", ""P Leighton"", ""Patricia LEİGHTON""]",1998
Fiona Cownie,"[""F. Cownie"", ""Fiona Cownie""]",2015
Michael Adler,"[""Michael E. Adler"", ""M Adler"", ""M. Adler"", ""Michael E Adler"", ""MICHAEL ADLER"", ""Michael Adler""]",2014
Jonathan Simon,"[""Jonathan Simon"", ""Jonathan Steven Simon"", ""J Simon"", ""Jonathan S. Simon"", ""Jonathan S Simon"", ""J. Simon""]",2014
Bob Ferguson,"[""Bob Ferguson"", ""B. Ferguson"", ""B Ferguson""]",1983
James Willard Hurst,"[""J.M. Hurst"", ""James Willard Hurst"", ""J. Hurst"", ""James W. Hurst"", ""J. M. Hurst"", ""J M Hurst"", ""J Hurst"", ""JAMES M. HURST"", ""John Hurst"", ""James M Hurst"", ""James M. Hurst"", ""J. W. Hurst"", ""James Hurst""]",1983
Stewart Andrew Field,"[""Stewart Field"", ""Stewart Andrew Field"", ""S. B. Field""]",1994
Håkan Hydén,"[""Håkan Hydén"", ""Hakan Hyden"", ""H. Hyden""]",1986
Tony Ward,"[""T.F. Ward"", ""T Ward"", ""T. F. Ward"", ""Tony Ward"", ""Tony. Ward"", ""T. Ward""]",2012
Nicole Rafter,"[""Nicole H. Rafter"", ""Nicole Rafter"", ""NICOLE HAHN RAFTER"", ""Nicole Hahn Rafter"", ""Nicole H Rafter""]",2001
Martin Partington,"[""M. Partington"", ""Martin Partington"", ""M Partington""]",2008
Michael Levi,"[""Maxim Vladimirovich Levi"", ""M Levi"", ""Michael A. Levi"", ""M A Levi"", ""M. E. Levi"", ""M. Levi"", ""Michael. Levi"", ""Michael Levi"", ""Mike Levi""]",1986
Willem de Haan,"[""Willem de Haan"", ""Willem De Haan"", ""W. de Haan"", ""W. De Haan""]",1987
Clive Unsworth,"[""C. R. Unsworth"", ""Clive Unsworth""]",1991
Michael Winter,"[""Michael M. Winter"", ""M. Winter"", ""M Winter"", ""Michael Winter""]",1991
Alain Pottage,"[""Alain Pottage"", ""A Pottage""]",2012
Matthias Kilian,"[""M. Kilian"", ""Matthias Kilian""]",2003
Daniel H. Cole,"[""D. Cole"", ""Daniel H. Cole"", ""Daniel Cole"", ""Daniel Harold Cole"", ""Daniel H Cole""]",2001
Hadar Aviram,"[""H Aviram"", ""Hadar Aviram""]",1982
Stewart Motha,"[""Stewart John Motha"", ""Stewart Motha"", ""Stewart J. Motha""]",2007
Margaret Thornton,"[""M. J. Thornton"", ""Margaret Julie Thornton"", ""M Thornton"", ""Margaret. Thornton"", ""Margaret Rose. Thornton"", ""Margaret Thornton""]",1991
Toby Seddon,"[""Toby Seddon"", ""T.D.S. Seddon"", ""T D S Seddon"", ""T. Seddon""]",2016
John Harrington,"[""John A Harrington"", ""J. A. Harrington"", ""John Harrington"", ""J Harrington"", ""John A. Harrington""]",2005
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",1995
Gillian Douglas,"[""G Douglas"", ""G H Douglas"", ""F. Douglas"", ""Gilian Douglas"", ""Gillian Douglas""]",1990
Andrew Boon,"[""A. Boon"", ""Andrew Boon"", ""Andy Boon"", ""A. R. Boon"", ""A. den Boon""]",1995
Ole Henrik Borchgrevink Hansen,"[""Ole Henrik Borchgrevink Hansen"", ""O M Hansen"", ""Ole Hansen""]",1992
John Eekelaar,"[""J. Eekelaar"", ""J Eekelaar"", ""J. M. Eekelaar"", ""John Eekelaar"", ""John M. Eekelaar""]",1994
Clive Ponting,"[""Clive Ponting"", ""C. Ponting""]",1987
Chester L. Mirsky,"[""Chester Mirsky"", ""Chester L. Mirsky""]",1988
Michael McConville,"[""M McConville"", ""Michael McCONVILLE"", ""M. McConville"", ""Michael McConville"", ""M. J. McConville"", ""Michael Mcconville""]",1988
Sheila A.M. McLean,"[""S.A. McLEAN"", ""Sara McLean"", ""Sheila Mclean"", ""S A M McLean"", ""Sheila A. M. McLean"", ""S.A. McLean"", ""Sheila AM McLean"", ""Sheila A. McLean"", ""Steven McLean"", ""S. McLEAN"", ""Sheila A M McLean"", ""S. A. Mclean"", ""Sheila A.M. Mclean"", ""Sheila A. M. Mclean"", ""S. A. M. McLean"", ""Steven Mclean"", ""S. A. M. Mclean"", ""Sheila A.M. McLean"", ""Sara Mclean"", ""S. A. McLEAN"", ""S.A.M. McLean"", ""S Mclean"", ""Sheila Am McLean"", ""Sheila McLean"", ""S. J. McLean"", ""Steve McLean"", ""S. McLean"", ""Sheila A. Mclean"", ""Sheila A M. McLean"", ""S McLean"", ""S. A. McLean"", ""Shelia McLean"", ""S A McLean"", ""Sara McLean""]",1990
Herbert M. Kritzer,"[""Herbert Morris Kritzer"", ""Herbert M. Kritzer"", ""Herbert Kritzer"", ""Herbert M Kritzer"", ""H. Kritzer"", ""H Kritzer""]",1991
William J. Chambliss,"[""William J. Chambliss"", ""William Chambliss""]",1983
Hugh Collins,"[""Hazel Collins"", ""H. COLLINS"", ""H Collins"", ""H. Collins"", ""H. G. Collins"", ""Hugh Collins"", ""Hazel A. Collins"", ""HUGH COLLINS""]",1983
Joseph Markus,"[""Joseph Markus""]",2014
Paddy Ireland,"[""P. Ireland"", ""P Ireland"", ""Paddy Ireland"", ""Paddy W Ireland""]",1995
Roger Burridge,"[""Roger Burridge"", ""R. Burridge"", ""R Burridge""]",1988
Ann Stewart,"[""A J Stewart"", ""A.J. Stewart"", ""Ann Stewart"", ""A. Stewart""]",1988
Donald Nicolson,"[""D. Nicolson"", ""Donald Nicolson"", ""Donald J Nicolson"", ""Donald J. Nicolson"", ""D J Nicolson"", ""Donald James Nicolson""]",2006
Susan Ayres,"[""Susan Ayres"", ""S. Ayres"", ""S. Henry Ayres""]",1994
Zelda Pickup,"[""Zelda Pickup""]",1990
Harry Lesser,"[""H. Lesser"", ""H Lesser"", ""Harry Lesser""]",1990
Derek Morgan,"[""D. Morgan"", ""Derek Martin Morgan"", ""Derek Morgan"", ""Derek M. Morgan""]",1988
Robert Lee,"[""Lorenne Robert"", ""Lester Robert"", ""Lee. Robert"", ""Robert Lester"", ""L. St. Claire Robert"", ""Robert Lee"", ""Robert Lorenne""]",1988
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",2017
Ariella Morrison,"[""Ariella Morrison""]",2013
David Cowan,"[""DS Cowan"", ""Dave Cowan"", ""D. L. Cowan"", ""David S Cowan"", ""D. Cowan"", ""David S. Cowan"", ""D. W. Cowan"", ""D. S. C. Cowan"", ""David Cowan"", ""D. S. Cowan"", ""David Cowan""]",1997
Poul F. Kjaer,"[""Poul F Kjaer"", ""Poul Fritz Kjær"", ""Poul Kjaer"", ""Poul Fritz Kjaer"", ""Poul F. Kjaer"", ""P Kjaer"", ""Poul F. Kjær""]",2018
Kate Malleson,"[""K E Malleson"", ""KATE MALLESON"", ""K. Malleson"", ""K Malleson"", ""Kate Malleson""]",2009
David Sugarman,"[""David B. Sugarman"", ""David Sugarman"", ""D. Sugarman""]",2005
Virginia Mantouvalou,"[""V Mantouvalou"", ""V. Mantouvalou"", ""Virginia Mantouvalou""]",2015
Phil Fennell,"[""Philip Fennell"", ""P. Fennell"", ""Phil Fennell"", ""P. W. H. Fennell"", ""Philip W. H. Fennell"", ""P Fennell"", ""Philip William Hugh Fennell""]",1999
Kieran McEvoy,"[""Kieran Mcevoy"", ""Kieran McEVOY"", ""Kieran P. Mcevoy"", ""Kieron McEvoy"", ""Kieran P McEvoy"", ""Kieran McEvoy"", ""K. McEvoy"", ""K McEvoy""]",2000
Julie Macfarlane,"[""Julie MacFarlane"", ""J Macfarlane"", ""J. Macfarlane"", ""Julie Macfarlane"", ""J. S. Macfarlane""]",1992
Sally Wheeler,"[""S Wheeler"", ""Sally Padgett. Wheeler"", ""Sally Wheeler"", ""Sally Padgett Wheeler""]",1991
Boaventura de Sousa Santos,"[""B. de Sousa Santos"", ""B. De Sousa Santos"", ""Boaventura de Sousa Santos"", ""Boaventura de Souza Santos"", ""Boaventura de Sousa Autor a Santos"", ""Boaventura Santos"", ""Boaventura De sousa santos"", ""Boaventura De Sousa Santos"", ""Boaventura Sousa Santos""]",1987
Kieran McEvoy,"[""Kieran Mcevoy"", ""Kieran McEVOY"", ""Kieran P. Mcevoy"", ""Kieron McEvoy"", ""Kieran P McEvoy"", ""Kieran McEvoy"", ""K. McEvoy"", ""K McEvoy""]",2007
John Morison,"[""John Morison"", ""John E Morison"", ""J. L. Morison"", ""John Edgar Morison"", ""J Morison"", ""J. Edgar Morison"", ""J. E. Morison"", ""John E. Morison"", ""J.Edgar Morison"", ""J. Morison"", ""John Lyle Morison""]",2000
Geraint Howells,"[""Geraint G Howells"", ""Geraint G. Howells"", ""Geraint Howells"", ""Geraint Gordon Howells"", ""G. Howells"", ""G. G. Howells"", ""G Howells""]",2005
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1988
Brian Bercusson,"[""Brian Bercusson"", ""B Bercusson"", ""B. Bercusson""]",1988
Ronald Dworkin,"[""Ronald M Dworkin"", ""R. Dworkin"", ""R Dworkin"", ""Ronald Dworkin"", ""Ronald M. Dworkin"", ""R. M. Dworkin"", ""r. Dworkin""]",1987
Klaus A. Ziegert,"[""Klaus Ziegert"", ""Klaus A. Ziegert"", ""Klaus A Ziegert"", ""K Ziegert""]",2013
Clive Grace,"[""Clive Grace"", ""ClIve Grace"", ""C. Grace""]",1995
Michael J. King,"[""M. King"", ""M. J. King"", ""Michael J King"", ""M King"", ""M.‐J. King"", ""MICHAEL KING"", ""Micháel J. King"", ""Michael J. King"", ""Michael King"", ""M.J. King"", ""Michael Joseph King"", ""M J King""]",1995
Andrew Francis,"[""A Francis"", ""Andrew M. Francis"", ""Andrew Milne Francis"", ""Andrew Francis"", ""A. Francis"", ""Andrew M Francis""]",2006
Iain McDonald,"[""I. Mcdonald"", ""Iain McDONALD"", ""I {McDonald}"", ""Iain W. McDonald"", ""Iain McDonald"", ""Iain Mcdonald"", ""I. McDonald"", ""I McDonald""]",2006
Anne Meuwese,"[""A.C.M. Meuwese"", ""A. Meuwese"", ""Anne Claartje Margreet Meuwese"", ""Anne Meuwese"", ""Anne C.M. Meuwese""]",2008
Stuart Bell,"[""S. A. Bell"", ""Stuart Bell"", ""S. Bell"", ""S Bell"", ""Stuart Andrew Bell""]",2009
Laurence Etherington,"[""Laurence Mark Etherington"", ""L Etherington"", ""Laurence Etherington""]",2009
Amanda Skalski,"[""Amanda Skalski""]",2013
Simon Glaze,"[""Simon Glaze""]",2012
Stefano Bertea,"[""Stefano Bertea"", ""S Bertea""]",2009
Nimer Sultany,"[""Nimer Sultany""]",2009
Maureen Spencer,"[""Maureen P. Spencer"", ""Maureen Spencer"", ""M Spencer"", ""M. Spencer"", ""Maureen Patricia Spencer"", ""Maureen P Spencer"", ""M.P. Spencer""]",2008
Jeanette Berberich,"[""Jeanette Berberich""]",2014
Ardiola Sinaj,"[""Ardiola Sinaj""]",2014
Herbert Hill,"[""Herbert B Hill"", ""Herbert Hill"", ""H.B. Hill""]",1986
Tim Kaye,"[""Tim Kaye"", ""T. Kaye""]",1986
Michael Poole,"[""M W Poole"", ""Michael W. Poole"", ""Michael J.F. Poole"", ""M. W. Poole"", ""Michael J. F. Poole"", ""MICHAEL POOLE"", ""Michael John Findlay Poole"", ""Michael Poole"", ""M.W. Poole"", ""M. Poole""]",1986
Christopher Tomlins,"[""Christopher Tomlins"", ""C. L. Tomlins"", ""C.L. Tomlins"", ""C. Tomlins"", ""Christopher L Tomlins"", ""Christopher L. Tomlins"", ""Christopher Lawrence Tomlins""]",1986
William Twining,"[""W. L. Twining"", ""William L. Twining"", ""W. Twining"", ""William Lawrence Twining"", ""W Twining"", ""William Twining""]",1984
William Howarth,"[""William J. Howarth"", ""William J Howarth"", ""William Howarth"", ""W. Howarth"", ""W.J. Howarth"", ""W Howarth"", ""W. J. Howarth""]",1991
Stephen Parker,"[""S. D. Parker"", ""S Parker"", ""Stephen D Parker"", ""Stephen D. Parker"", ""Stephen Donald Parker"", ""S. Parker"", ""STEPHEN D. PARKER"", ""Stephen Parker"", ""Stephen. Parker"", ""S.D. Parker""]",1984
Dorothy McBride Stetson,"[""Dorothy M. Stetson"", ""Dorothy McBride Stetson"", ""Dorothy Stetson"", ""Dorothy Mcbride Stetson""]",1984
Lee Holcombe,"[""Lee Holcombe""]",1984
Paul Gordon,"[""P. Gordon"", ""Paul Gordon"", ""P. J. Gordon"", ""Paul J. Gordon""]",1982
Judith Ennew Coxford,"[""Judith Ennew Coxford""]",1989
David Jones,"[""David Jones"", ""D.N. Jones"", ""D. N. M. Jones"", ""D N Jones"", ""David N Jones"", ""David Neville Jones"", ""D. N. Jones"", ""D. NEVILLE JONES"", ""D. Neville Jones"", ""D. Jones"", ""David N. Jones"", ""D.N.M. Jones"", ""D Jones"", ""D.Neville Jones"", ""David N. M. Jones"", ""D. N. JONES"", ""Deauntaye Jones""]",1989
John Pickett,"[""J William Pickett"", ""John Pickett""]",1989
Margaret R. Oates,"[""Margaret R Oates"", ""M. R. Oates"", ""M R Oates"", ""M. Oates"", ""Margaret Oates"", ""M Oates"", ""M.R. Oates"", ""Margaret R. Oates""]",1989
Peter R. H. Barbor,"[""P Barbor"", ""P R Barbor"", ""P. R. H. Barbor"", ""P R H Barbor"", ""P. R. Barbor"", ""Peter R. H. Barbor"", ""P.R.H. Barbor"", ""Peter Barbor""]",1989
Cyril Greenland,"[""Cyril Greenland"", ""C. Greenland"", ""C.N. Greenland"", ""C Greenland""]",1989
Nigel Parton,"[""N. Parton"", ""Nigel Parton"", ""N. PARTON"", ""Nigel Ashmore Parton"", ""N Parton""]",1989
P. G. H. Hopkins,"[""P. G. H. Hopkins"", ""Phillip Hopkins"", ""P Hopkins""]",1984
Bruce Galloway,"[""Bruce Galloway""]",1984
Peter Young,"[""P. L. Young"", ""P. Young"", ""Peter Lewis Young"", ""Peter L. Young"", ""Peter L Young"", ""P Young"", ""Peter Young"", ""P.L Young"", ""P.L. Young"", ""P L Young"", ""P.Lewis Young""]",1984
David Garland,"[""D.E. Garland"", ""David W. Garland"", ""David Garland"", ""David E Garland"", ""David E. Garland"", ""D. Garland"", ""David. Garland"", ""Garland David""]",1984
Andrew Scull,"[""Andrew T. Scull"", ""Andrew Scull"", ""A Scull"", ""A. Scull"", ""ANDREW SCULL"", ""A. T. Scull""]",1984
Paul Hirst,"[""P. Q. Hirst"", ""PAUL HIRST"", ""Hirst Paul"", ""Paul Q.Hirst"", ""Paul Hirst"", ""Paul Q. Hirst"", ""P. Hirst""]",1984
Steven Lukes,"[""Steven Lukes"", ""Steven Michael Lukes"", ""steven lukes"", ""S. Lukes""]",1984
Colin Scott,"[""C.D. Scott"", ""C. D. Scott"", ""Colin Scott"", ""C Scott"", ""Colin David Scott""]",1996
Norman Lewis,"[""Norman D. Lewis"", ""N. B. Lewis"", ""Norman Douglas Lewis"", ""Norman Lewis"", ""N. Douglas Lewis"", ""N. Lewis"", ""N.D. Lewis""]",1996
Richard Moon,"[""Richard J Moon"", ""Richard John Moon"", ""R Moon"", ""Richard Moon""]",1994
Richard Abel,"[""Richard Abel"", ""Richard L. Abel"", ""Richard Leslie Abel"", ""R L Abel"", ""richard abel"", ""R. L. Abel"", ""R Abel"", ""R. Abel"", ""R.L. Abel"", ""Richard L Abel""]",1994
R. J. Spjut,"[""Robert Spjut"", ""R.J. Spjut"", ""R. J. Spjut"", ""Robert J. Spjut""]",1987
Stephen Greer,"[""Stephen Greer"", ""Stephen E. Greer""]",1987
John Darby,"[""John Professor Darby"", ""John P. Darby"", ""J. Darby"", ""John Darby"", ""J Darby""]",1987
Adam White,"[""Adam Edward White"", ""A White"", ""A. White"", ""Adam E. White"", ""Adam White"", ""A. E. White""]",1987
Mark Findlay,"[""Mark J. Findlay"", ""Mark James Findlay"", ""M. Findlay"", ""Marion Findlay"", ""M Findlay"", ""Jane Loo"", ""Mark Findlay""]",1991
Thomas Chiu Chor-Wing,"[""Thomas Chiu Chor-Wing""]",1991
Chris Pounder,"[""C.N.M. Pounder"", ""C. N. M. Pounder"", ""Chris Pounder""]",1983
Russell Sandberg,"[""R Sandberg"", ""RUSSELL SANDBERG"", ""Russell Sandberg""]",2017
Alan Bogg,"[""Alan L Bogg"", ""A.l. Bogg"", ""A Bogg"", ""Alan L. Bogg"", ""Alan Bogg"", ""A. L. Bogg""]",2017
ELEANOR WHITTINGDALE,"[""ELEANOR WHITTINGDALE""]",2021
ELEANOR WHITTINGDALE,"[""ELEANOR WHITTINGDALE""]",2021
Kate Malleson,"[""K E Malleson"", ""KATE MALLESON"", ""K. Malleson"", ""K Malleson"", ""Kate Malleson""]",2022
John Fanning,"[""John H. Fanning"", ""John Fanning"", ""JOHN FANNING"", ""J. Fanning"", ""John H Fanning""]",2022
Jennifer Temkin,"[""Jennifer Temkin"", ""J Temkin""]",1988
Dee Cook,"[""Dee Cook"", ""D. Cook"", ""Dee M. Cook""]",1988
NIKLAS LUHMANN,"[""NIKLAS LUHMANN""]",2022
Nico Buitendag,"[""Nico Buitendag"", ""NICO BUITENDAG"", ""N Buitendag"", ""Nicolaas Buitendag"", ""Nicolaas Buitendag""]",2022
OONAGH MCDONALD,"[""OONAGH MCDONALD""]",2022
David Downes,"[""DAVID DOWNES"", ""D Downes"", ""D.M. Downes"", ""D. M Downes"", ""D. M. Downes"", ""D. Downes"", ""David Downes"", ""David M. Downes""]",1990
Jos Silvis,"[""Jos Silvis""]",1990
Carol Jones,"[""Carol Adaire. Jones"", ""C Jones"", ""Carol A. G. Jones"", ""Carol A Jones"", ""Carol A G Jones"", ""Carol Jones"", ""C JONES"", ""C. jones"", ""C. A. Jones"", ""C.A. Jones"", ""Carol A. Jones"", ""C A Jones"", ""Carol Adaire Jones"", ""C. Jones"", ""Carol A.G. Jones""]",2001
Tola Amodu,"[""Tola Amodu""]",2008
