"author","display_name_alternatives","year"
Kristina Murphy,"[""kristina Murphy"", ""K A Murphy"", ""Kristina Murphy"", ""K. Murphy"", ""K Murphy"", ""K. A. Murphy""]",2005
João Ilhão Moreira,"[""Joao Ilhao Moreira"", ""JOÃO ILHÃO MOREIRA"", ""João Ilhão Moreira"", ""J. Ilhão Moreira""]",2022
Carol Smart,"[""C. Smart"", ""Carol Smart"", ""CAROL SMART"", ""C. F. Smart""]",1989
Pat Carlen,"[""P Carlen"", ""P. Carlen"", ""Pat Carlen"", ""PAT CARLEN""]",1989
John Taggart,"[""John Yeatman Taggart"", ""John Taggart"", ""JOHN TAGGART""]",2022
Alysia Blackham,"[""A Blackham"", ""ALYSIA BLACKHAM"", ""A. Blackham"", ""Alysia Blackham"", ""Alysia Debowski""]",2022
Alysia Blackham,"[""A Blackham"", ""ALYSIA BLACKHAM"", ""A. Blackham"", ""Alysia Blackham"", ""Alysia Debowski""]",2022
Tom Sgouros,"[""Tom Sgouros""]",2015
Peter J. Hammer,"[""Peter J. Hammer"", ""P Hammer"", ""Peter Hammer"", ""Peter Joseph Hammer""]",2015
Adele M. Morrison,"[""Adele M. Morrison"", ""Adele Morrison""]",2012
Edward B. Foley,"[""Edward B. Foley"", ""E. Foley"", ""Edward B Foley"", ""Edward Foley""]",2019
Patrick Schmidt,"[""P. Schmidt"", ""P Schmidt"", ""Patrick Schmidt"", ""Patrick D. Schmidt""]",2020
Margaret C. Moran,"[""Margaret Moran"", ""M. Moran"", ""Margaret C. Moran""]",2020
Scott T FitzGibbon,"[""S FitzGibbon"", ""Scott FitzGibbon"", ""Scott T. Fitzgibbon"", ""Scott T. FitzGibbon"", ""Scott T FitzGibbon"", ""Scott Thomas Fitzgibbon""]",2019
A. J. Miller,"[""A J Miller"", ""A. Miller"", ""Alan J Miller"", ""Alan Miller"", ""A Miller"", ""Alan J. Miller"", ""A. J. Miller"", ""A.J. Miller"", ""A. James Miller""]",2005
Jim Murdoch,"[""J Murdoch"", ""J. L. Murdoch"", ""J. Murdoch"", ""Jim Murdoch"", ""J.L. Murdoch"", ""Jim L Murdoch""]",2005
