year,author
2006,Martin J. Sweet
2005,Martin Krygier
1982,Martin Loughlin
1988,Martin Loughlin
2008,Martin Partington
1992,Martin Partington
1988,Martin Partington
1985,Martin Walker
2014,Martina Eckardt; Wolfgang Kerber
2008,Mary E. Vogel
2010,Mary Whowell
2003,Matthias Kilian
2001,Matthias Kuzina
2004,Matthias Mahlmann
1995,Maureen Cain
1982,Maureen Cain; Susan Sadigh
2008,Maureen Spencer
2010,Maureen Spencer; John Spencer
2006,Maureen Spencer; John Spencer
2007,Mavis Maclean
2015,Mavis Maclean
2001,Mavis Maclean
1994,Mavis MacLean
1993,Max Travers
2009,Max Travers
1994,Max Travers
1987,Max Weaver
1995,Meg Stacey
2004,Melanie L. Williams
2014,Melissa Curley
1996,Menachem Hofnung
2009,Mervyn Murch
1986,Michael Adler
2006,Michael Adler
2016,Michael Adler
2010,MICHAEL ADLER
2014,Michael Adler; Jonathan Simon
2001,Michael Böhnke
1997,Michael Cavadino
1984,Michael Clarke
1995,Michael Faure
2015,Michael King
2006,Michael King
1996,Michael King
1991,Michael King
1995,Michael King
1993,Michael King
1987,Michael King; Antoine Garapon
1994,Michael King; Anton Schütz
1986,Michael Levi
1983,Michael Levi
2009,Michael Levi
2004,Michael Levi; David S. Wall
2007,Michael Lobban
1988,Michael McConville; Chester L. Mirsky
1997,Michael Robertson
1996,Michael Salter
1997,Michael Salter
1994,Michael Salter; Julia J. A. Shaw
2002,Michael Thomson
1991,Michael Winter
2009,Michel Coutu
2013,Michel Coutu
2011,Michel Coutu; Thierry Kirat
2016,Michelle Lebaron
2005,Mike Feintuck
1994,Mike Maguire; Clive Norris
1998,Mike McConville
1995,Mike McConville; Chester Mirsky
2005,Mike Redmayne
1987,Miriam David
2004,Morris B. Kaplan
1999,Murray Hunt
2010,Neil Cobb
2007,Neil Cobb
1991,Neil Duxbury
2009,Neil Gunningham
1999,Neil Gunningham
1982,Neil Gunningham
2009,Neil Gunningham; Darren Sinclair
1991,Neil Hawke
1995,Neil Hutton
2008,Neil Kibble
1983,Neil MacCormick
